student_id,age,gender,socioeconomic_status,region,total_logins,weekly_login_count,avg_session_duration,resource_click_count,forum_posts,quiz_attempts_count,video_watch_completion_rate,daily_internet_usage_mins,edu_sites_visit_count,nonedu_sites_visit_count,peak_usage_time,tab_switch_count,total_classes,classes_attended,assignment_score_avg,quiz_score_avg,midterm_exam_score,final_exam_score,attendance_percentage,overall_performance_score,performance_label
S1861,19,Male,High,West,59,6,66.07912097369608,22.0,2,3,1.0,177.0,25,10,Morning,12,60,55,88.9,100.0,93.2,91.9,91.67,93.31,High
S0354,24,Female,Medium,South,19,9,52.65878279480615,50.0,2,2,0.65,171.0,22,12,Afternoon,2,60,41,50.4,36.6,57.3,39.5,68.33,46.44,Low
S1334,23,Male,Medium,North,44,2,45.8543868521991,10.0,2,4,0.97,105.0,24,10,Morning,4,60,48,77.6,74.2,66.8,71.5,80.0,71.85,High
S0906,23,Female,Medium,East,43,4,48.918866289421125,76.0,0,2,0.58,199.0,18,7,Afternoon,4,60,52,76.8,63.7,74.7,70.0,86.67,71.51,Medium
S1290,17,Male,High,North,28,2,59.17077033343144,31.0,3,2,0.4,253.0,20,10,Afternoon,4,60,47,69.5,67.1,67.9,68.5,78.33,68.24,Medium
S1274,17,Male,Medium,West,40,7,40.43765995391506,59.0,3,4,0.86,246.0,17,10,Night,11,60,50,73.4,69.2,76.6,69.1,83.33,72.23,Medium
S0939,19,Male,High,North,40,6,54.26067593232845,26.0,5,4,0.66,133.0,25,11,Night,9,60,49,70.1,62.1,70.1,77.7,81.67,70.78,Low
S1732,24,Female,Medium,North,46,3,42.430363283994915,24.0,3,1,0.63,120.0,17,10,Night,3,60,57,94.7,95.5,88.7,87.0,95.0,90.75,High
S0066,18,Male,Medium,West,7,4,40.51775383699851,62.0,2,2,0.6,209.0,10,6,Evening,1,60,38,46.1,35.1,54.6,39.8,63.33,44.56,Low
S1324,20,Male,Medium,South,35,8,43.953533757417965,19.0,3,3,0.36,199.0,17,13,Night,1,60,51,77.6,69.7,72.7,76.2,85.0,74.13,High
S0057,24,Male,Low,South,15,4,35.04851518146621,78.0,1,3,0.66,286.0,23,4,Afternoon,3,60,39,52.5,50.5,43.5,40.9,65.0,45.92,Low
S1293,17,Male,Low,West,29,4,59.204009231298556,42.0,4,2,0.63,132.0,16,7,Afternoon,12,60,51,77.6,68.1,77.1,76.1,85.0,75.1,Medium
S1119,17,Female,Medium,South,30,9,45.32482054753244,74.0,1,4,0.45,293.0,20,11,Night,10,60,45,76.5,66.9,75.8,65.5,75.0,71.07,Medium
S0585,22,Male,Medium,South,9,5,31.414259847425257,64.0,4,1,0.64,215.0,13,13,Morning,5,60,33,46.8,36.4,40.8,52.0,55.0,44.48,Low
S0375,17,Male,Medium,East,23,1,35.49089270312768,41.0,2,1,0.4,200.0,26,8,Night,14,60,44,47.6,57.1,38.6,57.3,73.33,49.71,Low
S0276,20,Male,Medium,East,6,3,52.68839675968897,42.0,4,2,0.45,106.0,16,6,Evening,3,60,41,42.8,49.0,56.0,53.6,68.33,51.24,Low
S0747,19,Female,High,North,23,2,39.469101830858676,62.0,4,4,0.97,205.0,19,5,Morning,11,60,39,51.5,47.2,56.7,43.2,65.0,49.71,Low
S0129,20,Female,Medium,South,18,2,41.17182810387031,38.0,4,1,0.76,231.0,15,8,Morning,11,60,42,57.7,54.1,30.9,45.8,70.0,45.37,Low
S1647,22,Male,High,West,55,3,57.88958640298848,74.0,4,2,0.96,153.0,27,12,Evening,8,60,58,85.4,98.3,98.2,96.9,96.67,95.27,High
S1853,21,Male,Medium,North,54,3,46.631680351204196,13.0,4,4,0.69,215.0,13,7,Night,6,60,56,89.9,98.5,89.9,96.9,93.33,93.72,High
S0675,20,Female,Medium,West,19,4,47.76600765511181,57.0,3,3,0.53,266.0,22,16,Evening,14,60,39,43.5,39.8,47.2,45.3,65.0,44.41,Low
S1665,23,Male,Low,North,52,8,65.72053910901562,33.0,5,1,0.66,135.0,25,8,Morning,5,60,55,87.3,88.1,98.6,96.8,91.67,93.7,High
S1982,23,Male,High,West,54,9,36.50018418247383,98.0,5,3,0.38,99.0,19,13,Morning,1,60,58,95.1,91.2,98.0,91.0,96.67,93.96,High
S1084,20,Female,Medium,South,33,2,28.015730907626498,38.0,4,4,0.31,206.0,16,12,Night,3,60,45,74.6,68.1,73.0,66.5,75.0,70.39,Medium
S1923,22,Female,Medium,North,58,2,61.06084067643995,17.0,1,2,0.91,182.0,20,14,Night,10,60,56,90.6,80.2,99.3,98.7,93.33,93.56,High
S0100,21,Male,Low,North,16,4,36.14751313875777,91.0,3,1,0.62,245.0,19,13,Night,3,60,39,45.3,39.1,34.2,39.1,65.0,38.87,Low
S1180,24,Female,Low,East,44,1,44.28485990727018,79.0,3,2,0.97,186.0,28,8,Evening,2,60,45,78.6,74.7,70.0,77.5,75.0,74.91,Medium
